created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,token
Sat Nov 04 22:59:40 +0000 2023,1720938895205093881,garuda indonesia sydneymelbourneperth sales officeemail off kg,0,0,0,2,ja,1492788391817084929,1720938895205093881,iqyomi,https://twitter.com/iqyomi/status/1720938895205093881,"['garuda', 'indonesia', 'sydneymelbourneperth', 'sales', 'officeemail', 'off', 'kg']"
Sat Nov 04 14:20:26 +0000 2023,1720808223668920546,wish garuda indonesia would make playlist on spotify,0,0,0,0,en,116080782,1720807760940741019,wecism,https://twitter.com/wecism/status/1720808223668920546,"['wish', 'garuda', 'indonesia', 'would', 'make', 'playlist', 'on', 'spotify']"
Sat Nov 04 13:18:09 +0000 2023,1720792548518883557,dirut garuda indonesia irfan setiaputra pastikan merger citilink pelita air diputuskan,0,0,1,1,in,759692754985242625,1720792548518883557,kumparan,https://twitter.com/kumparan/status/1720792548518883557,"['dirut', 'garuda', 'indonesia', 'irfan', 'setiaputra', 'pastikan', 'merger', 'citilink', 'pelita', 'air', 'diputuskan']"
Sat Nov 04 12:39:05 +0000 2023,1720782718437568919,pesawat garuda indonesia tujuan ambon jakarta mengalami delay penumpang protes warga asing,0,0,0,0,in,759692754985242625,1720782718437568919,kumparan,https://twitter.com/kumparan/status/1720782718437568919,"['pesawat', 'garuda', 'indonesia', 'tujuan', 'ambon', 'jakarta', 'mengalami', 'delay', 'penumpang', 'protes', 'warga', 'asing']"
Sat Nov 04 12:05:49 +0000 2023,1720774348410417418,my very first capture at yia arrived at fridays dusk garuda indonesia ga gia boeing u wl pk gmm engines cfmi cfm b yia wahi on oct,0,0,2,5,en,1247583472740233216,1720774348410417418,stamaviation,https://twitter.com/stamaviation/status/1720774348410417418,"['my', 'very', 'first', 'capture', 'at', 'yia', 'arrived', 'at', 'fridays', 'dusk', 'garuda', 'indonesia', 'ga', 'gia', 'boeing', 'u', 'wl', 'pk', 'gmm', 'engines', 'cfmi', 'cfm', 'b', 'yia', 'wahi', 'on', 'oct']"
Sat Nov 04 12:02:37 +0000 2023,1720773543812796533,penumpang pesawat garuda indonesia rute ambon jakarta diinapkan hotel pesawat mengalami gangguan teknis,0,0,0,1,in,759692754985242625,1720773543812796533,kumparan,https://twitter.com/kumparan/status/1720773543812796533,"['penumpang', 'pesawat', 'garuda', 'indonesia', 'rute', 'ambon', 'jakarta', 'diinapkan', 'hotel', 'pesawat', 'mengalami', 'gangguan', 'teknis']"
Sat Nov 04 11:53:05 +0000 2023,1720771143970459795,pesawat garuda indonesia tujuan ambon jakarta mengalami delay penumpang protes warga asing,0,0,0,2,in,759692754985242625,1720771143970459795,kumparan,https://twitter.com/kumparan/status/1720771143970459795,"['pesawat', 'garuda', 'indonesia', 'tujuan', 'ambon', 'jakarta', 'mengalami', 'delay', 'penumpang', 'protes', 'warga', 'asing']"
Sat Nov 04 11:09:33 +0000 2023,1720760189383807193,pesawat garuda indonesia tujuan ambon jakarta mengalami delay penumpang protes warga asing,0,0,0,0,in,759692754985242625,1720760189383807193,kumparan,https://twitter.com/kumparan/status/1720760189383807193,"['pesawat', 'garuda', 'indonesia', 'tujuan', 'ambon', 'jakarta', 'mengalami', 'delay', 'penumpang', 'protes', 'warga', 'asing']"
Sat Nov 04 10:32:59 +0000 2023,1720750983217864979,presiden indonesia joko widodo meresmikan penghantaran ton bantuan kemanusiaan gaza dg buah pesawat c hercules angkatan udara tni au pesawat boieng garuda indonesia berlepas lanud halim jakarta terbang al arish mesir,0,0,0,7,in,1695571783418777600,1720598149902029199,RidwanRidw65219,https://twitter.com/RidwanRidw65219/status/1720750983217864979,"['presiden', 'indonesia', 'joko', 'widodo', 'meresmikan', 'penghantaran', 'ton', 'bantuan', 'kemanusiaan', 'gaza', 'dg', 'buah', 'pesawat', 'c', 'hercules', 'angkatan', 'udara', 'tni', 'au', 'pesawat', 'boieng', 'garuda', 'indonesia', 'berlepas', 'lanud', 'halim', 'jakarta', 'terbang', 'al', 'arish', 'mesir']"
Sat Nov 04 10:14:16 +0000 2023,1720746273404567746,kemaskini presiden indonesia joko widodo merasmikan penghantaran tan bantuan kemanusiaan gaza penghantaran buah pesawat c hercules tentera nasional indonesia angkatan udara tni au pesawat boieng garuda indonesia berlepas,32,46,3286,6054,in,2194068895,1720746273404567746,Marchfoward,https://twitter.com/Marchfoward/status/1720746273404567746,"['kemaskini', 'presiden', 'indonesia', 'joko', 'widodo', 'merasmikan', 'penghantaran', 'tan', 'bantuan', 'kemanusiaan', 'gaza', 'penghantaran', 'buah', 'pesawat', 'c', 'hercules', 'tentera', 'nasional', 'indonesia', 'angkatan', 'udara', 'tni', 'au', 'pesawat', 'boieng', 'garuda', 'indonesia', 'berlepas']"
Sat Nov 04 05:43:14 +0000 2023,1720678067847548960,centang biru modal bulanan aja bangga cuakkzzz,0,0,0,0,in,1712727441507332096,1720632027525918772,GarudaIndo86610,https://twitter.com/GarudaIndo86610/status/1720678067847548960,"['centang', 'biru', 'modal', 'bulanan', 'aja', 'bangga', 'cuakkzzz']"
Sat Nov 04 03:00:02 +0000 2023,1720636995158872302,nikmati potongan rp kemudahan cicilan tmrw pay tmrwpay transaksi pembelian tiket penerbangan website garuda indonesia dapatkan potongan rp info lengkap,0,0,0,3,in,155418706,1720636995158872302,IndonesiaGaruda,https://twitter.com/IndonesiaGaruda/status/1720636995158872302,"['nikmati', 'potongan', 'rp', 'kemudahan', 'cicilan', 'tmrw', 'pay', 'tmrwpay', 'transaksi', 'pembelian', 'tiket', 'penerbangan', 'website', 'garuda', 'indonesia', 'dapatkan', 'potongan', 'rp', 'info', 'lengkap']"
Sat Nov 04 02:00:00 +0000 2023,1720621887418732870,dapatkan potongan rp pemegang kartu debit btn prioritas desember kode promo gabtn halaman website aplikasi flygaruda memilih penerbangan info lengkap,0,0,1,5,in,155418706,1720621887418732870,IndonesiaGaruda,https://twitter.com/IndonesiaGaruda/status/1720621887418732870,"['dapatkan', 'potongan', 'rp', 'pemegang', 'kartu', 'debit', 'btn', 'prioritas', 'desember', 'kode', 'promo', 'gabtn', 'halaman', 'website', 'aplikasi', 'flygaruda', 'memilih', 'penerbangan', 'info', 'lengkap']"
Sat Nov 04 00:16:01 +0000 2023,1720595718463955123,sportify lol garuda indonesia ya,0,0,0,0,in,1158790585370591234,1720075079403610575,AyarAisenodni,https://twitter.com/AyarAisenodni/status/1720595718463955123,"['sportify', 'lol', 'garuda', 'indonesia', 'ya']"
